"species"	"body_mean"	"body_N"	"body_var"	"body_var.adj"	"body_se.adj"	"lg.body"	"lg.body_var.adj"	"brain_mean"	"brain_N"	"brain_var"	"brain_var.adj"	"brain_se.adj"	"lg.brain"	"lg.brain_var.adj"
"Cheirogaleus_major"	417.333333333333	6	13047.0666666667	34613.4764452806	75.9533589835243	6.01759220415881	0.0325861176662452	6.87666666666667	6	0.479866666666667	0.650046723478659	0.329152123766164	1.92698981624855	0.00228844433300049
"Cheirogaleus_medius"	177	2	200	6226.2363808882	55.7953240912184	5.12878173492868	0.0947359952903039	3.17	2	0.0018	0.13813608763617	0.262807998010116	1.15030674702083	0.00684968173671272
"Chlorocebus_aethiops"	2940.38235294118	17	888768.547794118	1718251.3242192	317.920756332473	7.98048359592595	0.0116226159431003	64.5111764705882	17	64.3665610294118	57.2082352873648	1.83444550505635	4.16643434522289	0.000808284363210961
"Chlorocebus_pygerythrus"	3828.33333333333	3	3064364.33333333	2912718.81829134	985.34576305162	8.21811292410388	0.0641438047024111	68.0333333333333	3	38.2033333333333	63.6256346112319	4.60527359343727	4.21771194932597	0.00457166364343395
"Chlorocebus_sabaeus"	1036	1	NA	213303.795290682	461.84823837564	6.85248810621372	0.181268633211417	50	1	NA	34.3659723044736	5.86224976476383	3.90519662325725	0.0136527643417968
"Colobus_guereza"	6000	3	4690000	7154537.63963022	1544.29462210963	8.66744284585899	0.0641438047024111	72.6666666666667	3	7.58333333333333	72.5870430132357	4.91891055056015	4.28359694229926	0.00457166364343395
"Colobus_polykomos"	7475	2	3251250	11104562.838899	2356.32795243987	8.87195140061374	0.0947359952903039	81.4	2	124.82	91.08302314022	6.74844512240486	4.39595043214014	0.00684968173671272
"Erythrocebus_patas"	3937.5	4	1405625	3081202.24519231	877.667682723978	8.25405656214865	0.0484894419704711	101.625	4	131.5625	141.967764675723	5.95751132344124	4.61957421505579	0.00343070562437801
"Eulemur_fulvus_fulvus"	1337.14285714286	7	47323.8095238095	355332.302036818	225.303700444159	7.18429268707914	0.0279954666743764	23.3142857142857	7	3.5092619047619	7.47193105461798	1.03315958210157	3.14808537138939	0.00196184417060939
"Eulemur_macaco_macaco"	2034.5	2	36720.5	822610.901144873	641.330999229287	7.57063736979659	0.0947359952903039	23.65	2	6.845	7.68866461770757	1.96069689367168	3.15993827406959	0.00684968173671272
"Eulemur_mongoz"	1436	3	405568	409815.095792526	369.601179558239	7.23754484725696	0.0641438047024111	22.2533333333333	3	27.7265333333333	6.80736086602111	1.50635994658438	3.10020597830381	0.00457166364343395
"Gorilla_gorilla_gorilla"	111193.055555556	18	5289749004.76144	2457165457.49191	11683.7148237572	11.6135329854174	0.0109804467822945	495.888888888889	18	5906.77369281046	3380.31662915697	13.7038450183333	6.20597018888709	0.000763396811924323
"Hapalemur_simus"	1300	1	NA	335865.794749308	579.539295259008	7.07948522684392	0.181268633211417	9.53	1	NA	1.24845941362695	1.11734480516399	2.24761833549521	0.0136527643417968
"Homo_sapiens"	60072.6612903226	62	179026698.785034	717187673.01678	3401.10910045148	11.0017099742414	0.00320031154628821	1331.87580645161	62	14604.2956345849	24384.6253354514	19.8318029597995	7.19423276266617	0.000221691375002586
"Hylobates_agilis"	5648.13333333333	15	610659.695238095	6339995.54676128	650.127964160968	8.63249931532121	0.0131621414996154	90.8133333333333	15	110.105523809524	113.367314993654	2.74914914102108	4.50834811457188	0.0009160062662516
"Hylobates_lar"	5459.83846153846	13	430900.322564103	5924322.05221942	675.068204657837	8.59758858370054	0.0151717976038537	101.356923076923	13	20.9088397435898	141.219758092754	3.29591539861496	4.61811975123643	0.00105685586349373
"Hylobates_moloch"	5957.22222222222	9	257438.944444444	7052882.90927556	885.242145735376	8.68143876545994	0.0218416317161665	95.2888888888889	9	43.8861111111111	124.816831262796	3.72404844315664	4.55615010733348	0.00152621129367693
"Indri_indri"	6250	1	NA	7763170.18189043	2786.24661182215	8.64970242612474	0.181268633211417	38.3	1	NA	20.1644404454837	4.49048331980909	3.6386235140157	0.0136527643417968
"Lagothrix_lagotricha"	3692	5	1738320	2708959.15413001	736.065099584271	8.19443468103764	0.0389778291701997	86.64	5	74.248	103.187125478968	4.5428432832086	4.46038884997635	0.00274550543276992
"Lemur_catta"	1485.5	2	114720.5	438555.320649523	468.270926200593	7.25613869725751	0.0947359952903039	22.575	2	1.20125	7.00558077770463	1.8715743075957	3.11341825843469	0.00684968173671272
"Leontopithecus_rosalia"	328.5	2	84.5	21446.1737333941	103.552338779465	5.74716884027951	0.0947359952903039	12.325	2	0.451250000000001	2.0881538006575	1.02180081245258	2.5082048790604	0.00684968173671272
"Lepilemur_ruficaudatus"	867.833333333333	6	18538.1666666667	149675.847753172	157.942947375084	6.74970662510172	0.0325861176662452	7.50833333333333	6	0.281536666666667	0.774953630076221	0.359386892284675	2.01486929265979	0.00228844433300049
"Lophocebus_albigena"	6381.25	8	7139241.07142857	8092646.88758004	1005.77376230816	8.74884998419071	0.0245385954445344	99.85	8	88.4657142857143	137.051806843991	4.13901870683124	4.60281064784727	0.00171682402910277
"Macaca_arctoides"	2885.33333333333	3	5732617.33333333	1654516.3305913	742.634124943389	7.93532381006695	0.0641438047024111	93.8333333333333	3	128.583333333333	121.032754170852	6.35171247698477	4.53923432708992	0.00457166364343395
"Macaca_fascicularis"	2226.23714285714	35	2231623.46240336	984967.545173183	167.755565815537	7.70523698722068	0.00566214423971789	58.0642857142857	35	118.089642857143	46.3454179279156	1.1507192524419	4.0613544327065	0.000392676861542653
"Macaca_fuscata"	5900	1	NA	6918040.42320911	2630.21680156011	8.5920733132881	0.181268633211417	84	1	NA	96.9945202321463	9.84857960480324	4.42399041667241	0.0136527643417968
"Macaca_maura"	4760	2	231200	4502907.00065793	1500.48442188813	8.42063494958031	0.0947359952903039	95.5	2	264.5	125.37050356395	7.91740183279686	4.55570140661833	0.00684968173671272
"Macaca_mulatta"	2278.79824561404	114	1068105.86158982	1032026.44256303	95.1465371479943	7.73053260243653	0.00174179059338602	79.9728070175439	114	89.3676239093308	87.917090414288	0.87818138644232	4.38162637706516	0.0001205750894949
"Macaca_nemestrina"	5069.65217391304	23	3848568.6916996	5107817.82487	471.252624251487	8.52672567530151	0.00860362835884886	100.960869565217	23	212.934308300395	140.11827820013	2.46821778864418	4.61443426644824	0.000597490550521596
"Macaca_nigra"	3264.375	8	3462794.26785714	2117771.78742852	514.510907006416	8.07855430146829	0.0245385954445344	98.1	8	194.88	132.289885891622	4.06647706700195	4.58512895455677	0.00171682402910277
"Macaca_sinica"	2215.1	10	5476791.65555556	975137.248964292	312.271876569808	7.69321342245683	0.0196788114603737	68.8	10	113.455555555556	65.067707177955	2.55083725819494	4.23051689746875	0.0013736949410992
"Mandrillus_leucophaeus"	1718	1	NA	586577.487563109	765.883468657673	7.35828178593849	0.181268633211417	124	1	NA	211.364476061434	14.5383794166143	4.81345518343414	0.0136527643417968
"Mandrillus_sphinx"	8242.28571428571	7	115712811.571429	13501263.1508745	1388.79511760963	9.00303524361054	0.0279954666743764	148.114285714286	7	1094.5580952381	301.566103187073	6.56360205099819	4.99700325445739	0.00196184417060939
"Microcebus_murinus"	58.2666666666667	12	503.013333333333	674.713530124713	7.498408331799	4.05681728213131	0.0164257848440239	1.79166666666667	12	0.0210878787878788	0.0441268630492859	0.060640239012066	0.582573846951347	0.00114487678854045
"Miopithecus_talapoin"	762.333333333333	6	98854.6666666667	115496.518147084	138.742277951534	6.62009084652155	0.0325861176662452	38.0166666666667	6	5.03766666666667	19.8672015141396	1.81967036914838	3.63688043789579	0.00228844433300049
"Nasalis_larvatus"	15108.5	2	54820920.5	45365089.2760979	4762.61951430606	9.57564478068855	0.0947359952903039	91	2	338	113.833846661338	7.54433054224622	4.50743466564849	0.00684968173671272
"Nomascus_concolor"	1800	1	NA	643908.38756672	802.43902420478	7.40490762727855	0.181268633211417	95	1	NA	124.06116001915	11.1382745530513	4.54705050942964	0.0136527643417968
"Pan_troglodytes_troglodytes"	19634.8961038961	77	132284434.831169	76618966.0876162	997.522685271558	9.88377483714094	0.00257767696885295	357.181298701299	77	970.132064080656	1753.74340608199	4.77240907620828	5.87815423807332	0.000178508597844007
"Papio_anubis"	15263.1363636364	11	131604508.704545	46298470.1383072	2051.57301375194	9.62424293949916	0.0179057452755181	185.790909090909	11	589.340909090909	474.501452992947	6.56783797962705	5.22399745095093	0.00124889153037833
"Papio_cynocephalus"	6879.70588235294	17	35852092.0955882	9406299.78426485	743.849280443007	8.83051987238404	0.0116226159431003	151.158823529412	17	725.791323529412	314.09110205877	4.29836564055778	5.01792695332028	0.000808284363210961
"Papio_hamadryas"	6121.95454545455	11	21594137.1227273	7448336.23496428	822.873912519922	8.71068382205313	0.0179057452755181	140.231818181818	11	910.911136363636	270.322227201665	4.95729239882258	4.94267245160149	0.00124889153037833
"Papio_papio"	9010.41176470588	34	21689261.1586453	16134976.9144801	688.881807383192	9.10322195365005	0.0058281935266795	153.973529411765	34	268.860793226381	325.897295800875	3.09599977105598	5.03657858877926	0.000404223847054734
"Papio_ursinus"	14360.6666666667	3	85678661.3333333	40985314.8216729	3696.18338387374	9.54017636442873	0.0641438047024111	169.666666666667	3	96.5833333333333	395.714243138459	11.484979221262	5.1315498960607	0.00457166364343395
"Piliocolobus_badius"	5962.5	8	4407678.57142857	7065385.39326139	939.772937553361	8.68097583747433	0.0245385954445342	76.8625	8	93.1655357142857	81.2115200245363	3.18613245221648	4.34115969926504	0.00171682402910277
"Pithecia_irrorata"	871.9	3	334768.23	151081.896354267	224.411746836232	6.73860283608256	0.0641438047024111	32.8066666666667	3	17.1481333333333	14.794927422657	2.22073016690885	3.48834591494801	0.00457166364343395
"Pithecia_pithecia"	455	1	NA	41143.5598567902	202.838753340653	6.02966310234524	0.181268633211417	22	1	NA	6.65325223814609	2.57938989649609	3.08421607118742	0.0136527643417968
"Pongo_pygmaeus"	41765.8717948718	39	758282162.851552	346674720.523586	2981.45860243617	10.6372933784087	0.00508288475642498	346.725641025641	39	1637.44511470985	1652.57259546856	6.50950507289653	5.84835760263836	0.000352409407324933
"Presbytis_comata"	6124	1	NA	7453314.31125568	2730.07588012782	8.62933644017187	0.181268633211417	71.65	1	NA	70.5701461015412	8.40060391290657	4.26496677210328	0.0136527643417968
"Presbytis_melalophos"	9000	1	NA	16097709.689168	4012.1951210239	9.01434553971265	0.181268633211417	77.3	1	NA	82.1386602604792	9.06303813632488	4.34086757342248	0.0136527643417968
"Propithecus_verreauxi"	3344	5	139830	2222345.66141645	666.685182288679	8.09543405961949	0.0389778291701997	26.738	5	0.653070000000001	9.82757722064017	1.40196841766426	3.28471302184455	0.00274550543276992
"Saguinus_geoffroyi"	513.727272727273	11	30896.2181818182	52449.8579501747	69.0519290430133	6.23273965419371	0.0179057452755181	12.5090909090909	11	16.5183690909091	2.15099858439521	0.442205072171396	2.52583120693568	0.00124889153037833
"Saguinus_niger"	342.5	4	2091.66666666667	23313.1105830242	76.343157163927	5.81202693671704	0.0484894419704711	10.285	4	0.449700000000001	1.45410985947332	0.60293238830596	2.32897117029273	0.00343070562437801
"Saguinus_oedipus"	322.75	8	3456.42857142857	20701.9651870773	50.8698894080247	5.76460873200448	0.0245385954445344	9.56125	8	0.806155357142857	1.25666053073642	0.396336430753031	2.25686005963939	0.00171682402910277
"Saimiri_oerstedii"	661.4	5	91878.8	86937.5612298537	131.861716377312	6.47486988596259	0.0389778291701997	23.82	5	7.612	7.79959660166752	1.24896730154696	3.16915281121077	0.00274550543276992
"Saimiri_sciureus"	440.385714285714	7	18852.9747619048	38543.0001650736	74.203388606753	6.07365323294187	0.0279954666743764	21.9828571428571	7	3.54295714285714	6.64288757311448	0.974158066751158	3.08928200674348	0.00196184417060939
"Semnopithecus_entellus"	13983	2	107633792	38857941.2531232	4407.83060320626	9.4982295873957	0.0947359952903039	118.2	2	2.88000000000001	192.054098759662	9.79933923179674	4.76895326410364	0.00684968173671272
"Symphalangus_syndactylus"	9682.14285714286	7	13532333.8095238	18630394.2133478	1631.40580102595	9.16404079197437	0.0279954666743764	129.5	7	49.5833333333333	230.530378815639	5.73872035033744	4.86269995905429	0.00196184417060939
"Theropithecus_gelada"	7710	1	NA	11813751.4139984	3437.11382034381	8.85963914995167	0.181268633211417	130	1	NA	232.313972778242	15.241849388386	4.86070806828468	0.0136527643417968
"Trachypithecus_cristatus"	7958.63157894737	19	11383533.3567251	12587975.0560933	813.956388851564	8.97680958956062	0.0104055246133381	71.0973684210526	19	61.8045760233918	69.4857387930824	1.91236611217736	4.26368870748307	0.00072323255805081
"Trachypithecus_obscurus"	4797.5	16	2023846.66666667	4574135.63971082	534.680724808671	8.46967794604824	0.0123445636672262	63.86875	16	25.451625	56.0745064927914	1.8720728233163	4.15640080615333	0.000858780450099387
"Varecia_variegata_variegata"	2621.78571428571	7	735612.154761905	1366071.58384619	441.761342136904	7.85761320159243	0.0279954666743764	30.1428571428571	7	9.37285714285714	12.4898567589181	1.33576392048671	3.40496706233545	0.00196184417060939
