SP,BM,NL,LS,DD,RS
s48,2.808762678,3.243443856,4.818320993,3.405244971,1.876423665
s49,1.225935135,5.028966345,1.918220026,2.446367879,4.942733281
s50,2.619272218,0.673513766,2.145960417,0.373382213,-0.8116192
s51,2.302239446,1.34901806,2.215893641,0.858730865,2.844229971
s52,2.565282877,1.450992179,2.253066255,2.048278126,1.876438183
s53,0.40340933,-1.655266095,1.239294862,-0.979401859,0.066992787
s54,0.884798654,-1.983346013,0.002562199,-1.520667823,-0.517780882
s55,0.468938742,-0.62261098,0.993825267,0.649664697,0.296776545
s56,2.950393143,4.03454344,0.795863984,4.379073801,2.422662868
s57,1.536560232,0.468914222,-1.445882168,-0.328722937,1.480830939
s58,2.501420196,0.455681517,-1.916304907,0.646239216,0.424770897
s59,2.3341728,-0.610284047,-0.35540943,0.835999391,0.21705527
s60,2.398542681,0.904240644,-0.333557662,0.142267982,2.659357457
s61,1.159447833,0.143687767,-0.405668792,1.587819101,2.699486648
s62,0.592509817,-1.007930244,0.161447095,1.082524348,-0.011507182
s63,-0.703932752,-1.598745589,-0.65182269,-1.299067758,1.555475543
s64,1.583946133,0.452960215,2.04657798,0.351846112,0.605027979
s65,1.592633446,0.568508585,-0.68443128,-0.279595862,1.236295365
s66,2.156580245,-0.883967275,-0.311295514,0.115635072,-0.342677375
s67,5.267431988,2.18963416,2.115479969,2.599415169,-0.513369614
s68,1.346227006,-1.84421537,0.753327404,-0.943343694,-0.906440767
s69,2.182416979,-0.765809642,1.752160922,-0.891525122,-0.467958901
s70,2.939830387,-0.113510126,0.965969722,-0.375173649,1.154414206
s71,3.011293955,1.258661656,1.329634282,-0.592328994,-0.336852088
s72,2.593982284,1.213036446,0.316414278,0.719152392,1.226426188
s73,2.719389148,1.629429839,0.899306546,1.599438191,0.789638349
s74,2.607451008,0.919202733,0.629458828,-0.332396124,-0.433700522
s75,4.865476649,0.444781853,2.80893086,0.175928921,0.707616811
s76,5.43684487,0.221072431,3.564422436,-0.311789389,-1.99694445
s77,1.586871643,1.506544379,-0.441878566,2.868493105,0.326425814
s78,0.093656728,0.405273355,0.526962588,-0.250515866,1.272618452
s79,0.272860196,0.216892072,2.31792626,0.398301132,0.929595781
s80,2.252202002,-1.078739093,2.075454233,0.382728205,-0.729808449
s81,1.05736541,-0.052899116,1.238821897,1.380853148,-0.655486117
s82,4.697856045,0.331634838,1.187553629,1.096240272,0.151342211
s83,3.522317728,1.696206701,1.677363592,0.794919057,3.466323051
s84,1.607793765,2.536145228,-1.116737022,0.65977337,3.55422382
s85,1.90789841,2.742613526,-0.272035393,1.41696448,3.80822811
s86,3.943939841,-1.28344814,3.601938769,0.430344619,-0.918540236
s87,2.675070495,-0.729287623,2.884114421,-1.503773245,-0.173989015
s88,4.022480869,1.270382285,5.698224578,-0.529029913,0.42025612
s89,4.116113897,0.899242753,2.761662804,1.230771112,-0.287094234
s90,2.455946241,0.515297735,1.13828879,0.560078571,2.04885529
s91,4.140538148,2.173331721,1.756392549,1.959411459,0.763497433
s92,3.160709395,-0.621896446,1.640998942,0.69835792,0.787654206
s93,2.977885772,-0.225969467,1.648291943,0.67848028,-0.093837593
s94,3.930866025,1.000772969,3.568538018,0.840604819,0.001959162
s95,1.540456812,0.110895733,2.340271301,0.992731804,2.524498697
s96,1.049747793,2.05813396,2.484460337,1.03312533,3.258153919
s97,4.085642826,1.222978751,2.745792037,0.270032796,3.015785994
s98,3.470191086,1.804214726,1.909532374,0.144785071,4.052392486
s99,-1.516983261,-2.667732264,-1.074155886,-1.029371553,-1.760670551
s100,-1.554929997,-1.254464883,-0.555582075,-0.954367914,1.702235497
