"Zr" "N" "phylo"
0.18255040258308 23 "sp_182"
0.0886858045791756 38 "sp_183"
0.332819902972412 12 "sp_184"
-0.0152302782730761 91 "sp_185"
0.280124833072238 10 "sp_186"
0.11490031869598 63 "sp_187"
0.0542235725287207 40 "sp_188"
-0.285573482489868 22 "sp_189"
0.0479290127058736 50 "sp_190"
0.303816395162396 41 "sp_191"
0.16423035831028 121 "sp_192"
-0.387816808616023 14 "sp_193"
0.148414134592848 70 "sp_194"
0.357536935684711 58 "sp_195"
0.272226710791498 60 "sp_196"
0.0738468082322726 61 "sp_197"
0.0504312986337029 49 "sp_198"
0.22079605260051 108 "sp_199"
0.228515764494581 41 "sp_200"
